R2_Club Atlético Puerto Varas_CD Achao_10, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_11, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_12, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_13, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_14, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_15, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_16, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_17, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_18, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_19, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_20, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_21, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_22, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_23, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_24, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_25, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_26, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_27, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_28, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_29, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_30, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_1, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_2, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_3, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_4, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_5, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_6, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_7, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_8, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_9, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_10, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_11, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_12, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_13, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_14, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_15, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Boston College_16, Holgura:0.0
