R1_b_5, Holgura:1.0
R1_b_11, Holgura:1.0
R1_b_12, Holgura:1.0
R1_b_14, Holgura:1.0
R1_b_15, Holgura:1.0
R1_b_19, Holgura:1.0
R1_b_23, Holgura:1.0
R1_b_25, Holgura:1.0
R1_b_28, Holgura:1.0
R1_c_2, Holgura:1.0
R1_c_4, Holgura:1.0
R1_c_13, Holgura:1.0
R1_c_25, Holgura:1.0
R1_c_29, Holgura:1.0
R1_d_1, Holgura:1.0
R1_d_4, Holgura:1.0
R1_d_6, Holgura:1.0
R1_d_7, Holgura:1.0
R1_d_9, Holgura:1.0
R1_d_10, Holgura:1.0
R1_d_11, Holgura:1.0
R1_d_18, Holgura:1.0
R1_d_21, Holgura:1.0
R1_d_22, Holgura:1.0
R1_d_29, Holgura:1.0
R1_d_30, Holgura:1.0
R1_e_1, Holgura:1.0
R1_e_3, Holgura:1.0
R1_e_7, Holgura:1.0
R1_e_13, Holgura:1.0
R1_e_17, Holgura:1.0
R1_e_20, Holgura:1.0
R1_e_21, Holgura:1.0
R1_e_23, Holgura:1.0
R1_e_24, Holgura:1.0
R1_e_26, Holgura:1.0
R1_e_28, Holgura:1.0
R1_f_5, Holgura:1.0
R1_f_6, Holgura:1.0
R1_f_8, Holgura:1.0
R1_f_14, Holgura:1.0
R1_f_19, Holgura:1.0
R1_f_27, Holgura:1.0
R1_g_12, Holgura:1.0
R1_g_24, Holgura:1.0
R1_h_3, Holgura:1.0
R1_h_9, Holgura:1.0
R1_h_15, Holgura:1.0
R1_h_17, Holgura:1.0
R1_h_20, Holgura:1.0
R1_h_22, Holgura:1.0
R1_h_27, Holgura:1.0
R1_i_2, Holgura:1.0
R1_i_8, Holgura:1.0
R1_i_16, Holgura:1.0
R1_i_18, Holgura:1.0
R1_i_26, Holgura:1.0
R3_b_('Club Andino de Los Ángeles', 'CD Manquehue', 4), Holgura:1.0
R3_b_('CD Liceo Curicó', 'Estadio Español', 4), Holgura:1.0
R3_b_('CD La Unión', 'Estadio Palestino', 4), Holgura:1.0
R3_b_('CD Achao', 'CD Boston College', 4), Holgura:1.0
R3_b_('CD Quilicura Basket', 'Club Atlético Puerto Varas', 5), Holgura:1.0
R3_b_('CD AB Temuco', 'Club Andino de Los Ángeles', 5), Holgura:1.0
R3_b_('Stadio Italiano', 'CD La Unión', 5), Holgura:1.0
R3_b_('Estadio Español', 'CD Arturo Prat de San Felipe', 5), Holgura:1.0
R3_b_('CD Boston College', 'CD Manquehue', 5), Holgura:1.0
R3_b_('CD Brisas', 'CD Ceppi', 5), Holgura:1.0
R3_b_('CD Alemán de Concepción', 'CD Achao', 5), Holgura:1.0
R3_b_('Club Andino de Los Ángeles', 'CD Alemán de Concepción', 6), Holgura:1.0
R3_b_('CD Liceo Curicó', 'CD Boston College', 6), Holgura:1.0
R3_b_('CD Manquehue', 'Estadio Palestino', 6), Holgura:1.0
R3_b_('CD La Unión', 'CD Brisas', 6), Holgura:1.0
R3_b_('CD Ceppi', 'CD Quilicura Basket', 6), Holgura:1.0
R3_b_('CD Achao', 'Estadio Español', 6), Holgura:1.0
R3_b_('CD Arturo Prat de San Felipe', 'CD Ceppi', 7), Holgura:1.0
R3_b_('CD AB Temuco', 'CD La Unión', 7), Holgura:1.0
R3_b_('Estadio Palestino', 'Club Atlético Puerto Varas', 7), Holgura:1.0
R3_b_('Stadio Italiano', 'CD Achao', 7), Holgura:1.0
R3_b_('CD Brisas', 'CD Liceo Curicó', 7), Holgura:1.0
R3_b_('CD Alemán de Concepción', 'CD Boston College', 7), Holgura:1.0
R3_b_('Club Atlético Puerto Varas', 'Estadio Español', 8), Holgura:1.0
R3_b_('Club Andino de Los Ángeles', 'Estadio Palestino', 8), Holgura:1.0
R3_b_('CD Manquehue', 'CD Alemán de Concepción', 8), Holgura:1.0
R3_b_('CD Boston College', 'Stadio Italiano', 8), Holgura:1.0
R3_b_('CD La Unión', 'CD Quilicura Basket', 8), Holgura:1.0
R3_b_('CD Ceppi', 'CD AB Temuco', 8), Holgura:1.0
R3_b_('CD Achao', 'CD Brisas', 8), Holgura:1.0
R3_b_('CD Quilicura Basket', 'Club Andino de Los Ángeles', 9), Holgura:1.0
R3_b_('CD AB Temuco', 'Club Atlético Puerto Varas', 9), Holgura:1.0
R3_b_('Stadio Italiano', 'CD Manquehue', 9), Holgura:1.0
R3_b_('Estadio Español', 'CD La Unión', 9), Holgura:1.0
R3_b_('CD Brisas', 'CD Boston College', 9), Holgura:1.0
R3_b_('CD Ceppi', 'CD Liceo Curicó', 9), Holgura:1.0
R3_b_('Club Atlético Puerto Varas', 'CD Arturo Prat de San Felipe', 10), Holgura:1.0
R3_b_('Club Andino de Los Ángeles', 'CD Brisas', 10), Holgura:1.0
R3_b_('CD Liceo Curicó', 'CD AB Temuco', 10), Holgura:1.0
R3_b_('CD Manquehue', 'Estadio Español', 10), Holgura:1.0
R3_b_('CD La Unión', 'CD Ceppi', 10), Holgura:1.0
R3_b_('CD Achao', 'CD Quilicura Basket', 10), Holgura:1.0
R3_b_('CD Alemán de Concepción', 'Stadio Italiano', 10), Holgura:1.0
R3_b_('CD Quilicura Basket', 'CD Alemán de Concepción', 11), Holgura:1.0
R3_b_('CD AB Temuco', 'CD Achao', 11), Holgura:1.0
R3_b_('Stadio Italiano', 'Estadio Palestino', 11), Holgura:1.0
R3_b_('CD Liceo Curicó', 'CD La Unión', 11), Holgura:1.0
R3_b_('Estadio Español', 'CD Boston College', 11), Holgura:1.0
R3_b_('CD Brisas', 'Club Atlético Puerto Varas', 11), Holgura:1.0
R3_b_('CD Ceppi', 'Club Andino de Los Ángeles', 11), Holgura:1.0
R3_b_('Club Atlético Puerto Varas', 'CD Liceo Curicó', 12), Holgura:1.0
R3_b_('Club Andino de Los Ángeles', 'Stadio Italiano', 12), Holgura:1.0
